1. Events in the passive voice,2. Nominalized events,3. Events in a subordinate clause,4. Events in a condition,5. Events that are counterfactuals,6. Events that are in direct speech,7. Events that are in indirect speech,8. Events that come with a citation,9. Events that are paraphrased,10. Dates,11. Tense of the verbs in the text,12. Aspectual markers of the verbs,13. Events that are in the future and speculative,text,11. Tense of the verbs,6. Events in direct speech,7. Events in indirect speech,4. Events that are in a condition,5. Events that are counterfactual,12. Aspectual markers,11. Tense of the veins in the text,1. Events in the passice voice
,"""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""",[],"""present""","""none""","""no""","a true and accurate copy of the cba is attached as exhibit article 9 , section 1 of the cba outlines a four - step procedure to resolve grievances .",,,,,,,,"""no"""
"""yes""","""yes""","""yes""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""present""","[""perfect (has been resolved)""]","""yes""","if a grievance has not been resolved by the time the four - step process is exhausted , then the grievance may be appealed to arbitration .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""simple""","""no""","for grievances involving a termination , the cba provides the grievance process starts at step",,,,,,,,
"""yes""","""yes""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""","[""January 26, 2021"", ""March 2021""]","""past""",,"""yes""",", "" ten days later , by letter dated january 26 , 2021 , ip martinez advised pantoja that the transportation department s washington , dc office was to be closed and moved back to iam headquarters by march of 2021 , even though the office was important to the functioning of the transportation department because of its proximity to the national mediation board .",,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""",,"""no""",""" , \ martinez demoted tiberi because he believed that tiberi supported pantojas efforts to nominate anderman .",,,,,,,,
"""yes""","""yes""","""yes""","""no""","""no""","""no""","""yes""","""no""","""yes""",[],"""past""","""none""","""no""","however , after speaking with defendant ip martinez and being persuaded that he would support pantojas efforts to place lodge 2198 under supervision and to stop corruption at the iam , pantoja agreed not to run against defendant cervantes.\ , "" after the election , pantoja formally asked the executive council to place local 2198 under supervision .",,,,,,,,
"""no""","""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","[""08/22/22""]","""past""","""simple aspect""","""no""","defendant gst cervantes , through defendant bryant , who was the gvp assigned to assist her , opposed supervision and campaigned to have the executive council case 1:22 - cv-02512 document 1 filed 08/22/22 page 6 of 18 7 vote against taking any action .",,,,,,,,
"""no""","""yes""","""no""","""yes""","""yes""","""no""","""yes""","""no""","""no""",[],"""past""","[""would (modal used for future in the past)""]","""yes""","despite defendant ip martinezs assurances to pantoja that he would help to stop the corruption at local 2198 , the executive council rejected pantoja s motion .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""several months later""]","""past""","""simple aspect""","""no""",""" , "" several months later , pantoja again demanded that the iam take remedial action ; and , the executive council finally voted to impose supervision .",,,,,,,,
"""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""2018""","""Past""","""there was a shortage - past simple, indicating a completed state or action""","""no""","ultimately , local lodge 2198 filed a 2018 form lm-2 with the u.s . department of labor , in which it acknowledged that there was a shortage attributable to local lodge 2198",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present perfect""","""have passed""","""no""",less than 3 months have passed since the award and the amended award were delivered .,,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""simple""","""no""",true and accurate copies of the award and the amended award are attached as exhibits 1 and trachte and local 565 are parties to a collective bargaining agreement ( the cba ) covering employees represented by local 565 at the sun prairie plant .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""",[],"""Present""","""Simple""","""no""","a true and accurate copy of the cba is attached as exhibit article 9 , section 1 of the cba outlines a four - step procedure to resolve grievances .",,,,,,,,
"""yes""","""yes""","""yes""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""perfect aspect""","""yes""","if a grievance has not been resolved by the time the four - step process is exhausted , then the grievance may be appealed to arbitration .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""","for grievances involving a termination , the cba provides the grievance process starts at step",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""November 25, 2020""]","""Past""","""Simple aspect""","""no""","on november 25 , 2020 , the district court granted the unions summary judgment motion and denied cdrts .",,,,,,,,
"""No""","""Yes""","""No""","""No""","""No""","""No""","""No""","""Yes""","""No""","[""No dates explicitly mentioned, but there is a citation number '20-6425' which might imply the year 2020""]","""Past""","""Simple aspect""","""No""",cdrt subsequently appealed the matter to the united states court of appeals for the sixth circuit ( no . 20 - 6425 ) .,,,,,,,,
,,,,,,,,,,,,,"on september 17 , 2021 , however , the company and the union entered a settlement agreement that resolved the appeal .",,,,,,,,
,,,,,,,,,,,,,"the settlement agreement is attached as exhibit d. in the settlement agreement , the parties agreed that they would arbitrate the sole issue of the calculation of backpay , as that remedy is referred to and defined in the july 24 , 2019 opinion and award of arbitrator mark c. travis .",,,,,,,,
,,,,,,,,,,,,,they further agreed that this arbitration would be before arbitrator travis . case 3:22 - cv-00386 - rgj document 1 filed 07/27/22 page 4 of 9 pageid # : 4 5 the remedy award,,,,,,,,
"""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","[""June 17""]","""past""","""none""","""no""","the new policy , which was facially discriminatory based on age , was approved by the defendants on the executive counsel on or shortly after june 17 , at the time the new policy was approved by the executive council , all of the defendants on the executive council planned on retiring at age 65 and , as a result , knew that pantoja was the only member of the executive council that would be adversely affected by the policy .",,,,,,,,
"""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""",[],"""past""","""The verb 'was aimed' uses a past passive form indicating completed action targeted at a specific outcome.""","""no""",the new policy was aimed at removing pantoja because he had exercised his right to free speech under the lmrda .,,,,,,,,
"""Yes""","""Yes""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""April 1, 2022""","""Past""","""No specific aspectual markers identified""","""No""","e. pantojas removal from elected office on april 1 , 2022 pursuant to the mandatory retirement policy",,,,,,,,
"""no""","""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""Present Perfect, Present Simple""","""Perfect (has provided, has continued)""","""no""","the union has not provided any notice to the hospital regarding any allegation by the union that the hospital is in material breach of the contracts thereby excusing the union from further performance of its obligations , and at all times relevant to this complaint , the union has continued to prosecute grievances and other rights under the contracts .",,,,,,,,
"""no""","""no""","""yes""","""yes""","""no""","""no""","""yes""","""no""","""no""","[""04/13/23""]","""present""","""none""","""yes""","case 3:23 - cv-00466 document 1 filed 04/13/23 page 4 of 10 5 illegal work stoppage concerning holiday obligations the contracts provide that , because the hospital must remain open all days of the year , employees may be required to work on holidays on the terms and conditions described in the contracts .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""perfect""","""no""",the hospital has at all times abided by these requirements in the contracts .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""",[],"""present""","""simple""","""no""",the union disagreed with the hospitals conclusion that employees can be required to work holidays under the terms of the contracts .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","the union submitted a grievance over that issue , but did not pursue it .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""June 2021""]","""past""","""simple aspect""","""no""","approximately one month later , in june 2021 , ms . arvan went out onto the floor and walked past the roll tunnel .",,,,,,,,
,,,,,,,,,,,,,"as she did so , she noticed that rivera was pushing the rolls of paper ( which weigh thousands of pounds ) with his hands .",,,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""""","""no""","ms . arvan , consistent with the the companys requirement that managers intervene when they observe unsafe behavior , approached rivera to address his unsafe conduct .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""simple past""","""none""","""no""",ms . arvan told rivera that the rolls were too heavy to be pushed with his hands .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""progressive (was picking)""","""no""",he responded that she was picking on him .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""04/04/22""","""past continuous""","""progressive""","""no""","ms . arvan said no , she was simply trying to have a case : 1:22 - cv-00174 - sjd doc # : 4 filed : 04/04/22 page : 7 of 16 pageid # : 111 8 safety discussion with him .",,,,,,,,
"""No""","""No""","""No""","""Yes""","""No""","""No""","""Yes""","""No""","""No""",[],"""Past""","""None""","""Yes""","ms . arvan advised rivera that he should not be pushing rolls , that his conduct was unsafe and that he could get hurt .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""no""",she advised him that he needed to use a roll pusher .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""Past""","""Simple""","""no""","when ms . arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher , he became more agitated and disrespectful and rolled his eyes at ms . arvan .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""",[],,"""none""","""no""","ms . arvan said , do nt roll your eyes at me .","""Present""",,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""June 2021""]","""past""","""simple""","""no""","approximately one month later , in june 2021 , ms . arvan went out onto the floor and walked past the roll tunnel .",,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","as she did so , she noticed that rivera was pushing the rolls of paper ( which weigh thousands of pounds ) with his hands .",,,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","ms . arvan , consistent with the the companys requirement that managers intervene when they observe unsafe behavior , approached rivera to address his unsafe conduct .",,,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""no""",ms . arvan told rivera that the rolls were too heavy to be pushed with his hands .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""progressive (was picking)""","""no""",he responded that she was picking on him .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""yes""","""no""","[""04/04/22""]","""past""","""progressive (trying)""","""no""","ms . arvan said no , she was simply trying to have a case : 1:22 - cv-00174 - sjd doc # : 4 filed : 04/04/22 page : 7 of 16 pageid # : 111 8 safety discussion with him .",,,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""yes""","ms . arvan advised rivera that he should not be pushing rolls , that his conduct was unsafe and that he could get hurt .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""no""",she advised him that he needed to use a roll pusher .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""",[],"""past""","""simple""","""no""","when ms . arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher , he became more agitated and disrespectful and rolled his eyes at ms . arvan .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""",[],"""simple present""","""none""","""no""","ms . arvan said , do nt roll your eyes at me .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""Present""","""Perfektive""","""no""",", "" the complaint attached as exhibit 1 on its face , or within its four corners , meets the good cause standard described above .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""","giving specific examples , the complaint sets out the spurious reasons for this repeated first - class air travel houston at iam expenses .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","none of the casual , often vague reasons explain why such travel had anything to do with her official responsibilities as the second highest ranking union officer , in charge of the iam financial affairs .",,,,,,,,
"""no""","""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","[""2024-02-15""]","""present""","""simple""","""no""","and the conduct here is especially egregious because , under the iam constitution , she case 8:24 - cv-00454 - dkc document 1 filed 02/15/24 page 4 of 8 5 has a special obligation as general secretary treasurer to protect the union treasury and the membership from such misappropriation .",,,,,,,,
"""no""","""no""","""no""","""no""","""yes""",,,"""no""","""no""",[],"""present""","""None explicit, but 'has no need' suggests a state rather than an action or progressive aspect""","""yes""","among other purposes for this travel , defendant cervantes has nothing to do with collective bargaining , has no need to attend the local meetings , has no need to attend local get out the vote drives , has no need to engage in membership training , and especially has no need to do it in houston and nowhere else .",,"""no""","""no""",,,,,
"""Yes""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Past tense (was moved) indicates perfective aspect, showing completed actions""","""No""","upon becoming an international officer of iam , cervantes was moved at considerable iam expense to upper marlboro , maryland , where the iam has its headquarters .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""","for iam accounting purposes , her official domicile is upper marlboro , maryland .",,,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""modal verb ('is supposed to') indicating obligation""","""yes""","even if her immediate family is in houston , texas , she is supposed to travel there on her own time and only at her own expense .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","[""March 2021"", ""2015""]","""past""","""simple aspect""","""no""","the applicant sandra gardner learned of the misuse of union funds only in march 2021 , when sito pantoja , the iam vice president at the time , obtained copies of her weekly expense reports from 2015 through united states district court for the district of connecticut women & amp ; infants hospital of rhode island , plaintiff , vs. c.a . no . new england health care employees union , district 1199 , seiu , defendant .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""1947""]","""present""","""no specific aspectual markers""","""no""","women & amp ; infants hospitals complaint pursuant to section 301 of the labor management relations act of 1947 ( the lmra ) , 29 u.s.c . 185 , women & amp ; infants hospital of rhode island ( the hospital ) brings this complaint against new england health care employees union , district 1199 , seiu ( the union ) seeking damages as a direct and proximate result of the union inducing , encouraging , and directing union members employed by the hospital to violate the parties collective bargaining agreements by engaging in a partial or complete cessation of work , strike , slowdown , or work stoppage , in addition to declaratory and injunctive relief .",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""May 2022"", ""March 15""]","""present""","""perfect aspect (has engaged)""","""no""","the union has engaged in such conduct beginning in may 2022 and as recently as march 15 , "" ,   venue is proper in this court because the union maintains a principal office in and regularly transacts business in the district of connecticut .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""04/13/23""]","""present""","""progressive (are engaged)""","""no""",the duly authorized officers and case 3:23 - cv-00466 document 1 filed 04/13/23 page 1 of 10 2 agents of the union are engaged in representing and acting for the employee members of the union in the district of connecticut .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""none""","""none""","""no""",parties,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""had (perfect), need to store (modal)""","""no""","in addition to posting the guidelines , ms . salome had several conversations with rivera regarding the need to store the rolls with the labels right side up .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","nevertheless , in spite of those discussions , rivera continued to store the rolls with the labels upside down .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""simple aspect""","""no""",ms . salome verbally counseled rivera regarding his failure to properly store the rolls .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""",[],"""no""","in spite of that verbal counseling , rivera ignored ms . salome and continued to store the rolls upside down .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","[""May 6, 2021""]","""past""","[""decided"", ""advised""]","""no""","as a result , on may 6 , 2021 , ms . salome decided to issue rivera a written warning and advised ms . arvan as well as the companys human resources officer , rachel reed .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",ms . salome and ms . reed prepared the written warning .,,,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""May 11, 2021""","""Past""","""had (past perfect marker for 'had posted')""","""No""","prior to issuing the written warning , on may 11 , 2021 , ms . salome noticed that someone defaced the storing guidelines that she had posted .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""","""no""","[""04/04/22""]","""past""","""none""","""no""","indeed , one of the employee wrote the words wha , wha , wha on the posted case : 1:22 - cv-00174 - sjd doc # : 4 filed : 04/04/22 page : 5 of 16 pageid # : 109 6 guidelines .",,,,,,,,
"""No""","""No""","""Yes""","""No""","""No""","""No""","""Yes""","""No""","""No""",[],"""Past""","""Simple""","""No""","ms . salome , who was very familiar with riveras handwriting ( because she reviewed it daily ) , believed rivera defaced the picture .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","accordingly , she took a picture of the defaced guidelines and forwarded the same to ms . arvan and ms . reed .",,,,,,,,
"""yes""","""yes""","""no""",,"""no""","""no""","""no""","""no""","""no""","""November 25, 2020""","""past""","""perfective""","""no""","on november 25 , 2020 , the district court granted the unions summary judgment motion and denied cdrts .",,,,"""no""",,,,
"""No""","""Yes""","""No""","""No""","""No""","""No""","""No""","""Yes""","""No""",[],"""Past""","""None""","""No""",cdrt subsequently appealed the matter to the united states court of appeals for the sixth circuit ( no . 20 - 6425 ) .,,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""September 17, 2021""","""past""","""simple""","""no""","on september 17 , 2021 , however , the company and the union entered a settlement agreement that resolved the appeal .",,,,,,,,
"""yes""","""yes""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","[""July 24, 2019""]","""past""","""agreed - simple aspect""","""yes""","the settlement agreement is attached as exhibit d. in the settlement agreement , the parties agreed that they would arbitrate the sole issue of the calculation of backpay , as that remedy is referred to and defined in the july 24 , 2019 opinion and award of arbitrator mark c. travis .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""07/27/22""]","""past""","""modal ('would')""","""yes""",they further agreed that this arbitration would be before arbitrator travis . case 3:22 - cv-00386 - rgj document 1 filed 07/27/22 page 4 of 9 pageid # : 4 5 the remedy award,,,,,,,,
"""yes""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""yes""","[""January 26, 2021"", ""March 2021""]","""past""",,"""yes""",", "" ten days later , by letter dated january 26 , 2021 , ip martinez advised pantoja that the transportation department s washington , dc office was to be closed and moved back to iam headquarters by march of 2021 , even though the office was important to the functioning of the transportation department because of its proximity to the national mediation board .",,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""simple past""","""none""","""no""",""" , \ martinez demoted tiberi because he believed that tiberi supported pantojas efforts to nominate anderman .",,,,,,,,
"""No""","""Yes""","""No""","""Yes""","""No""","""No""","""Yes""","""No""","""No""",[],"""Past""","""Simple past""","""No""","however , after speaking with defendant ip martinez and being persuaded that he would support pantojas efforts to place lodge 2198 under supervision and to stop corruption at the iam , pantoja agreed not to run against defendant cervantes.\ , "" after the election , pantoja formally asked the executive council to place local 2198 under supervision .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""08/22/22""]",,"""none""","""no""","defendant gst cervantes , through defendant bryant , who was the gvp assigned to assist her , opposed supervision and campaigned to have the executive council case 1:22 - cv-02512 document 1 filed 08/22/22 page 6 of 18 7 vote against taking any action .","""past""",,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""no""","despite defendant ip martinezs assurances to pantoja that he would help to stop the corruption at local 2198 , the executive council rejected pantoja s motion .",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""",[],"""simple past""","""none""","""no""",""" , "" several months later , pantoja again demanded that the iam take remedial action ; and , the executive council finally voted to impose supervision .",,,,,,,,
"""yes""","""yes""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""","[""2018""]","""past""","""perfective""","""no""","ultimately , local lodge 2198 filed a 2018 form lm-2 with the u.s . department of labor , in which it acknowledged that there was a shortage attributable to local lodge 2198",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""",", "" the complaint attached as exhibit 1 on its face , or within its four corners , meets the good cause standard described above .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""","giving specific examples , the complaint sets out the spurious reasons for this repeated first - class air travel houston at iam expenses .",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfect aspect (had anything to do)""","""no""","none of the casual , often vague reasons explain why such travel had anything to do with her official responsibilities as the second highest ranking union officer , in charge of the iam financial affairs .",,,,,,,,
"""no""","""yes""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","[""02/15/24""]","""present""","""simple""","""no""","and the conduct here is especially egregious because , under the iam constitution , she case 8:24 - cv-00454 - dkc document 1 filed 02/15/24 page 4 of 8 5 has a special obligation as general secretary treasurer to protect the union treasury and the membership from such misappropriation .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""simple present""","""no explicit markers""","""no""","among other purposes for this travel , defendant cervantes has nothing to do with collective bargaining , has no need to attend the local meetings , has no need to attend local get out the vote drives , has no need to engage in membership training , and especially has no need to do it in houston and nowhere else .",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","upon becoming an international officer of iam , cervantes was moved at considerable iam expense to upper marlboro , maryland , where the iam has its headquarters .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""The verb phrase 'is' lacks clear aspectual markers but typically indicates simple aspect.""","""no""","for iam accounting purposes , her official domicile is upper marlboro , maryland .",,,,,,,,
"""no""","""no""","""yes""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""present (is), future (is supposed)""","""is - simple, is supposed - modal auxiliary indicating obligation""","""yes""","even if her immediate family is in houston , texas , she is supposed to travel there on her own time and only at her own expense .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","[""March 2021"", ""2015""]","""Past""","""Simple""","""no""","the applicant sandra gardner learned of the misuse of union funds only in march 2021 , when sito pantoja , the iam vice president at the time , obtained copies of her weekly expense reports from 2015 through united states district court for the district of connecticut women & amp ; infants hospital of rhode island , plaintiff , vs. c.a . no . new england health care employees union , district 1199 , seiu , defendant .",,,,,,,,
,,,,,,,,,,,,,"women & amp ; infants hospitals complaint pursuant to section 301 of the labor management relations act of 1947 ( the lmra ) , 29 u.s.c . 185 , women & amp ; infants hospital of rhode island ( the hospital ) brings this complaint against new england health care employees union , district 1199 , seiu ( the union ) seeking damages as a direct and proximate result of the union inducing , encouraging , and directing union members employed by the hospital to violate the parties collective bargaining agreements by engaging in a partial or complete cessation of work , strike , slowdown , or work stoppage , in addition to declaratory and injunctive relief .",,,,,,,,
"""no""","""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","[""May 2022"", ""March 15""]","""present perfect""","""perfect aspect ('has engaged')""","""no""","the union has engaged in such conduct beginning in may 2022 and as recently as march 15 , "" ,   venue is proper in this court because the union maintains a principal office in and regularly transacts business in the district of connecticut .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""04/13/23""]","""present""","""progressive ('are engaged')""","""no""",the duly authorized officers and case 3:23 - cv-00466 document 1 filed 04/13/23 page 1 of 10 2 agents of the union are engaged in representing and acting for the employee members of the union in the district of connecticut .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""nil""","""nil""","""no""",parties,,,,,,,,
"""no""","""yes""","""no""","""yes""","""no""","""no""","""yes""","""no""","""yes""",[],"""past""","""simple past""","""no""","however , after speaking with defendant ip martinez and being persuaded that he would support pantojas efforts to place lodge 2198 under supervision and to stop corruption at the iam , pantoja agreed not to run against defendant cervantes.\ , "" after the election , pantoja formally asked the executive council to place local 2198 under supervision .",,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""yes""","""no""","[""08/22/22""]","""past""","""simple aspect""","""no""","defendant gst cervantes , through defendant bryant , who was the gvp assigned to assist her , opposed supervision and campaigned to have the executive council case 1:22 - cv-02512 document 1 filed 08/22/22 page 6 of 18 7 vote against taking any action .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""no""","despite defendant ip martinezs assurances to pantoja that he would help to stop the corruption at local 2198 , the executive council rejected pantoja s motion .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",""" , "" several months later , pantoja again demanded that the iam take remedial action ; and , the executive council finally voted to impose supervision .",,,,,,,,
"""yes""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""","[""2018""]","""past""","""There are none specific, with only simple past forms used.""","""no""","ultimately , local lodge 2198 filed a 2018 form lm-2 with the u.s . department of labor , in which it acknowledged that there was a shortage attributable to local lodge 2198",,,,,,,,
"""no""","""yes""","""no""","""yes""","""no""","""no""","""yes""","""no""","""no""",[],"""past tense""","""no specific markers""","""no""","however , after speaking with defendant ip martinez and being persuaded that he would support pantojas efforts to place lodge 2198 under supervision and to stop corruption at the iam , pantoja agreed not to run against defendant cervantes.\ , "" after the election , pantoja formally asked the executive council to place local 2198 under supervision .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""",,"""past""","""none""","""no""","defendant gst cervantes , through defendant bryant , who was the gvp assigned to assist her , opposed supervision and campaigned to have the executive council case 1:22 - cv-02512 document 1 filed 08/22/22 page 6 of 18 7 vote against taking any action .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""",[],"""past""","""simple aspect""","""no""","despite defendant ip martinezs assurances to pantoja that he would help to stop the corruption at local 2198 , the executive council rejected pantoja s motion .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""None""","""no""",""" , "" several months later , pantoja again demanded that the iam take remedial action ; and , the executive council finally voted to impose supervision .",,,,,,,,
"""yes""","""yes""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""","[""2018""]","""past""","""none""","""no""","ultimately , local lodge 2198 filed a 2018 form lm-2 with the u.s . department of labor , in which it acknowledged that there was a shortage attributable to local lodge 2198",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""","""February 19, 2021""","""past""","""perfective""","""no""",", "" on or about february 19 , 2021 , defendants martinez , allen , blondin , wallace , bryant and galloway signed a letter endorsing defendant cervantes that cervantes posted on her campaign website .",,,,,,,,
